                                GateName	         GateType	     Level	       CC0	       CC1	        CB
                  c1908SCOAP.DUT.pout_17	             pout	        57	         6	        47	         0
                  c1908SCOAP.DUT.pout_18	             pout	        57	         6	        49	         0
                  c1908SCOAP.DUT.pout_19	             pout	        57	         6	        43	         0
                  c1908SCOAP.DUT.pout_20	             pout	        57	         6	        36	         0
                  c1908SCOAP.DUT.pout_21	             pout	        57	         6	        43	         0
                  c1908SCOAP.DUT.pout_22	             pout	        57	        11	        19	         0
                  c1908SCOAP.DUT.pout_23	             pout	        57	        11	        19	         0
                  c1908SCOAP.DUT.pout_24	             pout	        61	         6	        45	         0
               c1908SCOAP.DUT.fanout_n_0	         fanout_n	         1	         1	         1	        14
               c1908SCOAP.DUT.fanout_n_1	         fanout_n	         1	         1	         1	        14
               c1908SCOAP.DUT.fanout_n_2	         fanout_n	         1	         1	         1	        14
               c1908SCOAP.DUT.fanout_n_3	         fanout_n	         1	         1	         1	        14
               c1908SCOAP.DUT.fanout_n_4	         fanout_n	         1	         1	         1	        14
               c1908SCOAP.DUT.fanout_n_5	         fanout_n	         1	         1	         1	        14
               c1908SCOAP.DUT.fanout_n_6	         fanout_n	         1	         1	         1	        14
               c1908SCOAP.DUT.fanout_n_7	         fanout_n	         1	         1	         1	        14
               c1908SCOAP.DUT.fanout_n_8	         fanout_n	         1	         1	         1	        14
               c1908SCOAP.DUT.fanout_n_9	         fanout_n	         1	         1	         1	        14
              c1908SCOAP.DUT.fanout_n_10	         fanout_n	         1	         1	         1	        14
              c1908SCOAP.DUT.fanout_n_11	         fanout_n	         1	         1	         1	        14
              c1908SCOAP.DUT.fanout_n_12	         fanout_n	         1	         1	         1	        14
              c1908SCOAP.DUT.fanout_n_13	         fanout_n	         1	         1	         1	        14
              c1908SCOAP.DUT.fanout_n_14	         fanout_n	         1	         1	         1	        14
              c1908SCOAP.DUT.fanout_n_15	         fanout_n	         1	         1	         1	        14
              c1908SCOAP.DUT.fanout_n_16	         fanout_n	         1	         1	         1	        61
              c1908SCOAP.DUT.fanout_n_17	         fanout_n	         1	         1	         1	        74
              c1908SCOAP.DUT.fanout_n_18	         fanout_n	         1	         1	         1	        46
              c1908SCOAP.DUT.fanout_n_19	         fanout_n	         1	         1	         1	        62
              c1908SCOAP.DUT.fanout_n_20	         fanout_n	         1	         1	         1	        25
              c1908SCOAP.DUT.fanout_n_21	         fanout_n	         1	         1	         1	        25
              c1908SCOAP.DUT.fanout_n_22	         fanout_n	         1	         1	         1	        47
              c1908SCOAP.DUT.fanout_n_23	         fanout_n	         1	         1	         1	        61
              c1908SCOAP.DUT.fanout_n_24	         fanout_n	         1	         1	         1	        77
              c1908SCOAP.DUT.fanout_n_25	         fanout_n	         1	         1	         1	        77
              c1908SCOAP.DUT.fanout_n_26	         fanout_n	         1	         1	         1	        77
              c1908SCOAP.DUT.fanout_n_27	         fanout_n	         1	         1	         1	        77
              c1908SCOAP.DUT.fanout_n_28	         fanout_n	         1	         1	         1	        25
              c1908SCOAP.DUT.fanout_n_29	         fanout_n	         1	         1	         1	        25
              c1908SCOAP.DUT.fanout_n_30	         fanout_n	         1	         1	         1	        77
              c1908SCOAP.DUT.fanout_n_31	         fanout_n	         1	         1	         1	        13
              c1908SCOAP.DUT.fanout_n_32	         fanout_n	         1	         1	         1	        15
              c1908SCOAP.DUT.fanout_n_33	         fanout_n	         3	         2	         2	        56
              c1908SCOAP.DUT.fanout_n_34	         fanout_n	         3	         2	         2	        62
              c1908SCOAP.DUT.fanout_n_35	         fanout_n	         3	         2	         2	        55
              c1908SCOAP.DUT.fanout_n_36	         fanout_n	         3	         2	         2	        66
              c1908SCOAP.DUT.fanout_n_37	         fanout_n	         3	         2	         2	        65
              c1908SCOAP.DUT.fanout_n_38	         fanout_n	         3	         2	         2	        58
              c1908SCOAP.DUT.fanout_n_39	         fanout_n	         3	         2	         2	        74
              c1908SCOAP.DUT.fanout_n_40	         fanout_n	         3	         2	         2	        58
              c1908SCOAP.DUT.fanout_n_41	         fanout_n	         3	         2	         2	        65
              c1908SCOAP.DUT.fanout_n_42	         fanout_n	         3	         2	         2	        58
              c1908SCOAP.DUT.fanout_n_43	         fanout_n	         3	         2	         2	        67
              c1908SCOAP.DUT.fanout_n_44	         fanout_n	         3	         2	         2	        55
              c1908SCOAP.DUT.fanout_n_45	         fanout_n	         3	         2	         2	        59
              c1908SCOAP.DUT.fanout_n_46	         fanout_n	         3	         2	         2	        65
              c1908SCOAP.DUT.fanout_n_47	         fanout_n	         3	         2	         2	        58
              c1908SCOAP.DUT.fanout_n_48	         fanout_n	         3	         2	         2	        68
              c1908SCOAP.DUT.fanout_n_49	         fanout_n	         3	         2	         2	        60
              c1908SCOAP.DUT.fanout_n_50	         fanout_n	         3	         1	         1	        46
              c1908SCOAP.DUT.fanout_n_51	         fanout_n	         3	         1	         1	        77
              c1908SCOAP.DUT.fanout_n_52	         fanout_n	         3	         2	         2	        76
              c1908SCOAP.DUT.fanout_n_53	         fanout_n	         3	         2	         2	        76
              c1908SCOAP.DUT.fanout_n_54	         fanout_n	         3	         2	         2	        76
              c1908SCOAP.DUT.fanout_n_55	         fanout_n	         3	         2	         2	        76
              c1908SCOAP.DUT.fanout_n_56	         fanout_n	         3	         2	         2	        43
              c1908SCOAP.DUT.fanout_n_57	         fanout_n	         3	         2	         2	        43
              c1908SCOAP.DUT.fanout_n_58	         fanout_n	         3	         1	         1	       104
              c1908SCOAP.DUT.fanout_n_59	         fanout_n	         3	         2	         2	       103
              c1908SCOAP.DUT.fanout_n_60	         fanout_n	         3	         1	         1	        79
              c1908SCOAP.DUT.fanout_n_61	         fanout_n	         3	         2	         2	        76
              c1908SCOAP.DUT.fanout_n_62	         fanout_n	         3	         1	         1	        78
              c1908SCOAP.DUT.fanout_n_63	         fanout_n	         3	         2	         2	        36
              c1908SCOAP.DUT.fanout_n_64	         fanout_n	         3	         2	         2	        12
              c1908SCOAP.DUT.fanout_n_65	         fanout_n	         3	         1	         1	        24
              c1908SCOAP.DUT.fanout_n_66	         fanout_n	         3	         2	         2	        45
              c1908SCOAP.DUT.fanout_n_67	         fanout_n	         3	         1	         1	        44
              c1908SCOAP.DUT.fanout_n_68	         fanout_n	         3	         1	         1	        37
              c1908SCOAP.DUT.fanout_n_69	         fanout_n	         3	         2	         2	        14
              c1908SCOAP.DUT.fanout_n_70	         fanout_n	         3	         1	         1	        13
              c1908SCOAP.DUT.fanout_n_71	         fanout_n	         3	         1	         1	        13
              c1908SCOAP.DUT.fanout_n_72	         fanout_n	         3	         1	         1	        13
              c1908SCOAP.DUT.fanout_n_73	         fanout_n	         3	         1	         1	        13
              c1908SCOAP.DUT.fanout_n_74	         fanout_n	         3	         1	         1	        13
              c1908SCOAP.DUT.fanout_n_75	         fanout_n	         3	         1	         1	        13
              c1908SCOAP.DUT.fanout_n_76	         fanout_n	         3	         1	         1	        13
              c1908SCOAP.DUT.fanout_n_77	         fanout_n	         3	         1	         1	        13
              c1908SCOAP.DUT.fanout_n_78	         fanout_n	         3	         1	         1	        13
              c1908SCOAP.DUT.fanout_n_79	         fanout_n	         3	         1	         1	        13
              c1908SCOAP.DUT.fanout_n_80	         fanout_n	         3	         1	         1	        13
              c1908SCOAP.DUT.fanout_n_81	         fanout_n	         3	         1	         1	        13
              c1908SCOAP.DUT.fanout_n_82	         fanout_n	         3	         1	         1	        13
              c1908SCOAP.DUT.fanout_n_83	         fanout_n	         3	         1	         1	        13
              c1908SCOAP.DUT.fanout_n_84	         fanout_n	         3	         1	         1	        13
              c1908SCOAP.DUT.fanout_n_85	         fanout_n	         3	         1	         1	        13
              c1908SCOAP.DUT.fanout_n_86	         fanout_n	         5	         2	         2	        79
              c1908SCOAP.DUT.fanout_n_87	         fanout_n	         5	         2	         2	        82
              c1908SCOAP.DUT.fanout_n_88	         fanout_n	         5	         2	         2	        79
              c1908SCOAP.DUT.fanout_n_89	         fanout_n	         5	         2	         2	        82
              c1908SCOAP.DUT.fanout_n_90	         fanout_n	         5	         2	         2	        79
              c1908SCOAP.DUT.fanout_n_91	         fanout_n	         5	         2	         2	        82
              c1908SCOAP.DUT.fanout_n_92	         fanout_n	         5	         2	         4	        70
              c1908SCOAP.DUT.fanout_n_93	         fanout_n	         5	         2	         2	        76
              c1908SCOAP.DUT.fanout_n_94	         fanout_n	         5	         2	         2	        78
              c1908SCOAP.DUT.fanout_n_95	         fanout_n	         5	         2	         2	        81
              c1908SCOAP.DUT.fanout_n_96	         fanout_n	         5	         2	         4	        69
              c1908SCOAP.DUT.fanout_n_97	         fanout_n	         5	         2	         2	        72
              c1908SCOAP.DUT.fanout_n_98	         fanout_n	         5	         2	         6	        56
              c1908SCOAP.DUT.fanout_n_99	         fanout_n	         5	         2	         2	        67
             c1908SCOAP.DUT.fanout_n_100	         fanout_n	         5	         2	         2	        70
             c1908SCOAP.DUT.fanout_n_101	         fanout_n	         5	         3	         2	        77
             c1908SCOAP.DUT.fanout_n_102	         fanout_n	         5	         4	         2	        74
             c1908SCOAP.DUT.fanout_n_103	         fanout_n	         5	         5	         3	        74
             c1908SCOAP.DUT.fanout_n_104	         fanout_n	         5	         2	         2	        65
             c1908SCOAP.DUT.fanout_n_105	         fanout_n	         5	         2	         2	        65
             c1908SCOAP.DUT.fanout_n_106	         fanout_n	         5	         2	         2	        64
             c1908SCOAP.DUT.fanout_n_107	         fanout_n	         5	         2	         2	        64
             c1908SCOAP.DUT.fanout_n_108	         fanout_n	         5	         2	         2	        55
             c1908SCOAP.DUT.fanout_n_109	         fanout_n	         5	         2	         2	       126
             c1908SCOAP.DUT.fanout_n_110	         fanout_n	         5	         2	         2	        61
             c1908SCOAP.DUT.fanout_n_111	         fanout_n	         5	         2	         2	        66
             c1908SCOAP.DUT.fanout_n_112	         fanout_n	         5	         2	         2	        54
             c1908SCOAP.DUT.fanout_n_113	         fanout_n	         5	         2	         5	        42
             c1908SCOAP.DUT.fanout_n_114	         fanout_n	         5	         2	         2	        54
             c1908SCOAP.DUT.fanout_n_115	         fanout_n	         5	         2	         2	        70
             c1908SCOAP.DUT.fanout_n_116	         fanout_n	         5	         2	         2	        58
             c1908SCOAP.DUT.fanout_n_117	         fanout_n	         5	         2	         5	        58
             c1908SCOAP.DUT.fanout_n_118	         fanout_n	         5	         2	         2	        79
             c1908SCOAP.DUT.fanout_n_119	         fanout_n	         5	         2	         2	        75
             c1908SCOAP.DUT.fanout_n_120	         fanout_n	         5	         2	         2	        79
             c1908SCOAP.DUT.fanout_n_121	         fanout_n	         5	         2	         2	        75
             c1908SCOAP.DUT.fanout_n_122	         fanout_n	         5	         2	         2	        78
             c1908SCOAP.DUT.fanout_n_123	         fanout_n	         5	         2	         2	        75
             c1908SCOAP.DUT.fanout_n_124	         fanout_n	         5	         2	         2	        78
             c1908SCOAP.DUT.fanout_n_125	         fanout_n	         5	         2	         2	        75
             c1908SCOAP.DUT.fanout_n_126	         fanout_n	         5	         2	         4	        21
             c1908SCOAP.DUT.fanout_n_127	         fanout_n	         5	         2	         4	        21
             c1908SCOAP.DUT.fanout_n_128	         fanout_n	         5	         2	         2	       100
             c1908SCOAP.DUT.fanout_n_129	         fanout_n	         5	         2	         2	        81
             c1908SCOAP.DUT.fanout_n_130	         fanout_n	         5	         2	         2	        81
             c1908SCOAP.DUT.fanout_n_131	         fanout_n	         5	         2	         2	        85
             c1908SCOAP.DUT.fanout_n_132	         fanout_n	         5	         2	         2	        85
             c1908SCOAP.DUT.fanout_n_133	         fanout_n	         5	         2	         2	        81
             c1908SCOAP.DUT.fanout_n_134	         fanout_n	         5	         2	         2	        80
             c1908SCOAP.DUT.fanout_n_135	         fanout_n	         5	         2	         2	        91
             c1908SCOAP.DUT.fanout_n_136	         fanout_n	         5	         2	         2	       135
             c1908SCOAP.DUT.fanout_n_137	         fanout_n	         5	         2	         2	        71
             c1908SCOAP.DUT.fanout_n_138	         fanout_n	         5	         2	         2	        64
             c1908SCOAP.DUT.fanout_n_139	         fanout_n	         5	         2	         2	        64
             c1908SCOAP.DUT.fanout_n_140	         fanout_n	         5	         2	         6	        69
             c1908SCOAP.DUT.fanout_n_141	         fanout_n	         5	         2	         2	        69
             c1908SCOAP.DUT.fanout_n_142	         fanout_n	         5	         2	         2	        69
             c1908SCOAP.DUT.fanout_n_143	         fanout_n	         5	         2	         2	        73
             c1908SCOAP.DUT.fanout_n_144	         fanout_n	         5	         2	         2	        57
             c1908SCOAP.DUT.fanout_n_145	         fanout_n	         5	         2	         2	        57
             c1908SCOAP.DUT.fanout_n_146	         fanout_n	         5	         2	         2	        57
             c1908SCOAP.DUT.fanout_n_147	         fanout_n	         5	         2	         2	        57
             c1908SCOAP.DUT.fanout_n_148	         fanout_n	         5	         2	         2	        73
             c1908SCOAP.DUT.fanout_n_149	         fanout_n	         5	         2	         2	        73
             c1908SCOAP.DUT.fanout_n_150	         fanout_n	         7	         5	         2	        72
             c1908SCOAP.DUT.fanout_n_151	         fanout_n	         7	         4	         2	        72
             c1908SCOAP.DUT.fanout_n_152	         fanout_n	         7	         5	         2	        76
             c1908SCOAP.DUT.fanout_n_153	         fanout_n	         7	         4	         2	        76
             c1908SCOAP.DUT.fanout_n_154	         fanout_n	         7	         6	         2	        73
             c1908SCOAP.DUT.fanout_n_155	         fanout_n	         7	         2	         6	       201
             c1908SCOAP.DUT.fanout_n_156	         fanout_n	         7	         2	         2	        97
             c1908SCOAP.DUT.fanout_n_157	         fanout_n	         7	         2	         2	        78
             c1908SCOAP.DUT.fanout_n_158	         fanout_n	         7	         2	         2	        78
             c1908SCOAP.DUT.fanout_n_159	         fanout_n	         7	         2	         2	        82
             c1908SCOAP.DUT.fanout_n_160	         fanout_n	         7	         2	         2	        82
             c1908SCOAP.DUT.fanout_n_161	         fanout_n	         7	         2	         2	        78
             c1908SCOAP.DUT.fanout_n_162	         fanout_n	         7	         2	         4	        69
             c1908SCOAP.DUT.fanout_n_163	         fanout_n	         7	         2	         4	       132
             c1908SCOAP.DUT.fanout_n_164	         fanout_n	         7	         2	         2	        77
             c1908SCOAP.DUT.fanout_n_165	         fanout_n	         7	         2	         2	        88
             c1908SCOAP.DUT.fanout_n_166	         fanout_n	         7	         2	         4	       132
             c1908SCOAP.DUT.fanout_n_167	         fanout_n	         7	         2	         4	        68
             c1908SCOAP.DUT.fanout_n_168	         fanout_n	         7	         2	         6	        55
             c1908SCOAP.DUT.fanout_n_169	         fanout_n	         7	         2	         6	       126
             c1908SCOAP.DUT.fanout_n_170	         fanout_n	         7	         2	         2	        66
             c1908SCOAP.DUT.fanout_n_171	         fanout_n	         7	         2	         2	        70
             c1908SCOAP.DUT.fanout_n_172	         fanout_n	         7	         2	         2	       100
             c1908SCOAP.DUT.fanout_n_173	         fanout_n	         7	         2	         2	        81
             c1908SCOAP.DUT.fanout_n_174	         fanout_n	         7	         2	         2	        81
             c1908SCOAP.DUT.fanout_n_175	         fanout_n	         7	         2	         2	        85
             c1908SCOAP.DUT.fanout_n_176	         fanout_n	         7	         2	         2	        85
             c1908SCOAP.DUT.fanout_n_177	         fanout_n	         7	         2	         2	        81
             c1908SCOAP.DUT.fanout_n_178	         fanout_n	         7	         2	         2	        75
             c1908SCOAP.DUT.fanout_n_179	         fanout_n	         7	         2	         2	       138
             c1908SCOAP.DUT.fanout_n_180	         fanout_n	         7	         2	         2	        80
             c1908SCOAP.DUT.fanout_n_181	         fanout_n	         7	         2	         2	        91
             c1908SCOAP.DUT.fanout_n_182	         fanout_n	         7	         2	         2	       135
             c1908SCOAP.DUT.fanout_n_183	         fanout_n	         7	         2	         2	        71
             c1908SCOAP.DUT.fanout_n_184	         fanout_n	         7	         2	         2	        69
             c1908SCOAP.DUT.fanout_n_185	         fanout_n	         7	         2	         2	        73
             c1908SCOAP.DUT.fanout_n_186	         fanout_n	         9	         5	         2	        76
             c1908SCOAP.DUT.fanout_n_187	         fanout_n	         9	         4	         2	        76
             c1908SCOAP.DUT.fanout_n_188	         fanout_n	         9	         5	         7	        72
             c1908SCOAP.DUT.fanout_n_189	         fanout_n	         9	         5	         7	        70
             c1908SCOAP.DUT.fanout_n_190	         fanout_n	         9	         7	         7	        56
             c1908SCOAP.DUT.fanout_n_191	         fanout_n	         9	         7	         7	        61
             c1908SCOAP.DUT.fanout_n_192	         fanout_n	         9	         7	         7	        49
             c1908SCOAP.DUT.fanout_n_193	         fanout_n	         9	         7	         7	        49
             c1908SCOAP.DUT.fanout_n_194	         fanout_n	         9	         7	         7	        65
             c1908SCOAP.DUT.fanout_n_195	         fanout_n	         9	         5	         2	        78
             c1908SCOAP.DUT.fanout_n_196	         fanout_n	         9	         5	         2	        75
             c1908SCOAP.DUT.fanout_n_197	         fanout_n	         9	         4	         2	        78
             c1908SCOAP.DUT.fanout_n_198	         fanout_n	         9	         4	         2	        75
             c1908SCOAP.DUT.fanout_n_199	         fanout_n	        10	         8	         8	        56
             c1908SCOAP.DUT.fanout_n_200	         fanout_n	        10	         8	         8	        55
             c1908SCOAP.DUT.fanout_n_201	         fanout_n	        10	         8	         8	        49
             c1908SCOAP.DUT.fanout_n_202	         fanout_n	        11	         7	         7	        92
             c1908SCOAP.DUT.fanout_n_203	         fanout_n	        11	         7	         7	        73
             c1908SCOAP.DUT.fanout_n_204	         fanout_n	        11	         7	         7	        73
             c1908SCOAP.DUT.fanout_n_205	         fanout_n	        11	         7	         7	        77
             c1908SCOAP.DUT.fanout_n_206	         fanout_n	        11	         7	         7	        77
             c1908SCOAP.DUT.fanout_n_207	         fanout_n	        11	         7	         7	        73
             c1908SCOAP.DUT.fanout_n_208	         fanout_n	        11	         7	         7	        72
             c1908SCOAP.DUT.fanout_n_209	         fanout_n	        11	         7	         7	        83
             c1908SCOAP.DUT.fanout_n_210	         fanout_n	        11	         7	         7	       127
             c1908SCOAP.DUT.fanout_n_211	         fanout_n	        11	         7	         7	        63
             c1908SCOAP.DUT.fanout_n_212	         fanout_n	        11	         7	         7	        47
             c1908SCOAP.DUT.fanout_n_213	         fanout_n	        11	         7	         7	        61
             c1908SCOAP.DUT.fanout_n_214	         fanout_n	        11	         7	         7	        65
             c1908SCOAP.DUT.fanout_n_215	         fanout_n	        12	         8	         8	        69
             c1908SCOAP.DUT.fanout_n_216	         fanout_n	        12	         8	         8	        55
             c1908SCOAP.DUT.fanout_n_217	         fanout_n	        12	         8	         8	       117
             c1908SCOAP.DUT.fanout_n_218	         fanout_n	        13	         8	        12	        48
             c1908SCOAP.DUT.fanout_n_219	         fanout_n	        13	         8	        12	        53
             c1908SCOAP.DUT.fanout_n_220	         fanout_n	        13	         8	        12	        41
             c1908SCOAP.DUT.fanout_n_221	         fanout_n	        13	         8	        12	        41
             c1908SCOAP.DUT.fanout_n_222	         fanout_n	        14	        13	         9	        56
             c1908SCOAP.DUT.fanout_n_223	         fanout_n	        15	         8	        12	        84
             c1908SCOAP.DUT.fanout_n_224	         fanout_n	        15	         8	        12	        65
             c1908SCOAP.DUT.fanout_n_225	         fanout_n	        15	         8	        12	        69
             c1908SCOAP.DUT.fanout_n_226	         fanout_n	        15	        10	        12	       119
             c1908SCOAP.DUT.fanout_n_227	         fanout_n	        15	         8	        12	        64
             c1908SCOAP.DUT.fanout_n_228	         fanout_n	        15	         8	        12	        53
             c1908SCOAP.DUT.fanout_n_229	         fanout_n	        16	        13	         9	        64
             c1908SCOAP.DUT.fanout_n_230	         fanout_n	        16	        13	         9	        64
             c1908SCOAP.DUT.fanout_n_231	         fanout_n	        16	        13	         9	        74
             c1908SCOAP.DUT.fanout_n_232	         fanout_n	        16	        13	         9	        68
             c1908SCOAP.DUT.fanout_n_233	         fanout_n	        16	        13	        11	        54
             c1908SCOAP.DUT.fanout_n_234	         fanout_n	        16	        13	         9	        56
             c1908SCOAP.DUT.fanout_n_235	         fanout_n	        17	         8	        12	        75
             c1908SCOAP.DUT.fanout_n_236	         fanout_n	        17	        19	        23	        21
             c1908SCOAP.DUT.fanout_n_237	         fanout_n	        17	         8	        12	        78
             c1908SCOAP.DUT.fanout_n_238	         fanout_n	        17	         8	        12	        64
             c1908SCOAP.DUT.fanout_n_239	         fanout_n	        17	         8	        12	        68
             c1908SCOAP.DUT.fanout_n_240	         fanout_n	        17	         8	        12	       131
             c1908SCOAP.DUT.fanout_n_241	         fanout_n	        17	         8	        12	        83
             c1908SCOAP.DUT.fanout_n_242	         fanout_n	        17	         8	        12	       147
             c1908SCOAP.DUT.fanout_n_243	         fanout_n	        18	        13	         9	        77
             c1908SCOAP.DUT.fanout_n_244	         fanout_n	        18	        13	         9	        83
             c1908SCOAP.DUT.fanout_n_245	         fanout_n	        18	        13	         9	        67
             c1908SCOAP.DUT.fanout_n_246	         fanout_n	        18	        13	         9	       136
             c1908SCOAP.DUT.fanout_n_247	         fanout_n	        18	        13	         9	        77
             c1908SCOAP.DUT.fanout_n_248	         fanout_n	        18	        13	         9	        63
             c1908SCOAP.DUT.fanout_n_249	         fanout_n	        18	        13	         9	        63
             c1908SCOAP.DUT.fanout_n_250	         fanout_n	        18	        13	         9	        73
             c1908SCOAP.DUT.fanout_n_251	         fanout_n	        18	        13	         9	       142
             c1908SCOAP.DUT.fanout_n_252	         fanout_n	        19	        19	        23	        33
             c1908SCOAP.DUT.fanout_n_253	         fanout_n	        19	         8	        12	        74
             c1908SCOAP.DUT.fanout_n_254	         fanout_n	        19	         8	        12	       143
             c1908SCOAP.DUT.fanout_n_255	         fanout_n	        20	        13	         9	        76
             c1908SCOAP.DUT.fanout_n_256	         fanout_n	        20	        13	         9	       140
             c1908SCOAP.DUT.fanout_n_257	         fanout_n	        20	        23	        25	        33
             c1908SCOAP.DUT.fanout_n_258	         fanout_n	        20	        13	         9	        82
             c1908SCOAP.DUT.fanout_n_259	         fanout_n	        20	        13	         9	       146
             c1908SCOAP.DUT.fanout_n_260	         fanout_n	        21	        11	        27	        13
             c1908SCOAP.DUT.fanout_n_261	         fanout_n	        21	         8	        13	        60
             c1908SCOAP.DUT.fanout_n_262	         fanout_n	        21	         8	        13	       123
             c1908SCOAP.DUT.fanout_n_263	         fanout_n	        22	        24	        20	        57
             c1908SCOAP.DUT.fanout_n_264	         fanout_n	        22	        24	        20	        43
             c1908SCOAP.DUT.fanout_n_265	         fanout_n	        22	        24	        20	        43
             c1908SCOAP.DUT.fanout_n_266	         fanout_n	        23	        24	        34	        13
             c1908SCOAP.DUT.fanout_n_267	         fanout_n	        23	        30	         3	        75
             c1908SCOAP.DUT.fanout_n_268	         fanout_n	        23	        24	        20	        53
             c1908SCOAP.DUT.fanout_n_269	         fanout_n	        23	        24	        20	       122
             c1908SCOAP.DUT.fanout_n_270	         fanout_n	        23	        11	        27	        12
             c1908SCOAP.DUT.fanout_n_271	         fanout_n	        24	        20	        34	        13
             c1908SCOAP.DUT.fanout_n_272	         fanout_n	        24	        24	        20	        62
             c1908SCOAP.DUT.fanout_n_273	         fanout_n	        24	        24	        20	       126
             c1908SCOAP.DUT.fanout_n_274	         fanout_n	        25	        37	         3	        75
             c1908SCOAP.DUT.fanout_n_275	         fanout_n	        25	        24	        34	        12
             c1908SCOAP.DUT.fanout_n_276	         fanout_n	        25	        30	         3	        77
             c1908SCOAP.DUT.fanout_n_277	         fanout_n	        25	        30	         3	        74
             c1908SCOAP.DUT.fanout_n_278	         fanout_n	        25	        10	        15	        52
             c1908SCOAP.DUT.fanout_n_279	         fanout_n	        26	        20	        31	        37
             c1908SCOAP.DUT.fanout_n_280	         fanout_n	        26	        37	         3	        74
             c1908SCOAP.DUT.fanout_n_281	         fanout_n	        26	        16	        11	       114
             c1908SCOAP.DUT.fanout_n_282	         fanout_n	        26	        20	        34	        12
             c1908SCOAP.DUT.fanout_n_283	         fanout_n	        27	        37	         3	        77
             c1908SCOAP.DUT.fanout_n_284	         fanout_n	        27	        37	         3	        74
             c1908SCOAP.DUT.fanout_n_285	         fanout_n	        27	        26	        36	        30
             c1908SCOAP.DUT.fanout_n_286	         fanout_n	        28	        20	        31	       105
             c1908SCOAP.DUT.fanout_n_287	         fanout_n	        28	        37	        27	        98
             c1908SCOAP.DUT.fanout_n_288	         fanout_n	        28	        37	         3	        76
